task,input,output,quiz
course_summary,Example input text for course_summary task number 201. Details about the topic or content are provided here.,Example output text summarizing or answering task 201.,
youtube_summary,Example input text for youtube_summary task number 202. Details about the topic or content are provided here.,Example output text summarizing or answering task 202.,"What is the key takeaway of task 202?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 203. Details about the topic or content are provided here.,Example output text summarizing or answering task 203.,
general_knowledge,Example input text for general_knowledge task number 204. Details about the topic or content are provided here.,Example output text summarizing or answering task 204.,"What is the key takeaway of task 204?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 205. Details about the topic or content are provided here.,Example output text summarizing or answering task 205.,
youtube_summary,Example input text for youtube_summary task number 206. Details about the topic or content are provided here.,Example output text summarizing or answering task 206.,"What is the key takeaway of task 206?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 207. Details about the topic or content are provided here.,Example output text summarizing or answering task 207.,
general_knowledge,Example input text for general_knowledge task number 208. Details about the topic or content are provided here.,Example output text summarizing or answering task 208.,"What is the key takeaway of task 208?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 209. Details about the topic or content are provided here.,Example output text summarizing or answering task 209.,
course_summary,Example input text for course_summary task number 210. Details about the topic or content are provided here.,Example output text summarizing or answering task 210.,"What is the key takeaway of task 210?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 211. Details about the topic or content are provided here.,Example output text summarizing or answering task 211.,
general_knowledge,Example input text for general_knowledge task number 212. Details about the topic or content are provided here.,Example output text summarizing or answering task 212.,"What is the key takeaway of task 212?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 213. Details about the topic or content are provided here.,Example output text summarizing or answering task 213.,
youtube_summary,Example input text for youtube_summary task number 214. Details about the topic or content are provided here.,Example output text summarizing or answering task 214.,"What is the key takeaway of task 214?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 215. Details about the topic or content are provided here.,Example output text summarizing or answering task 215.,
general_knowledge,Example input text for general_knowledge task number 216. Details about the topic or content are provided here.,Example output text summarizing or answering task 216.,"What is the key takeaway of task 216?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 217. Details about the topic or content are provided here.,Example output text summarizing or answering task 217.,
youtube_summary,Example input text for youtube_summary task number 218. Details about the topic or content are provided here.,Example output text summarizing or answering task 218.,"What is the key takeaway of task 218?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 219. Details about the topic or content are provided here.,Example output text summarizing or answering task 219.,
general_knowledge,Example input text for general_knowledge task number 220. Details about the topic or content are provided here.,Example output text summarizing or answering task 220.,"What is the key takeaway of task 220?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 221. Details about the topic or content are provided here.,Example output text summarizing or answering task 221.,
course_summary,Example input text for course_summary task number 222. Details about the topic or content are provided here.,Example output text summarizing or answering task 222.,"What is the key takeaway of task 222?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 223. Details about the topic or content are provided here.,Example output text summarizing or answering task 223.,
general_knowledge,Example input text for general_knowledge task number 224. Details about the topic or content are provided here.,Example output text summarizing or answering task 224.,"What is the key takeaway of task 224?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 225. Details about the topic or content are provided here.,Example output text summarizing or answering task 225.,
youtube_summary,Example input text for youtube_summary task number 226. Details about the topic or content are provided here.,Example output text summarizing or answering task 226.,"What is the key takeaway of task 226?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 227. Details about the topic or content are provided here.,Example output text summarizing or answering task 227.,
general_knowledge,Example input text for general_knowledge task number 228. Details about the topic or content are provided here.,Example output text summarizing or answering task 228.,"What is the key takeaway of task 228?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 229. Details about the topic or content are provided here.,Example output text summarizing or answering task 229.,
youtube_summary,Example input text for youtube_summary task number 230. Details about the topic or content are provided here.,Example output text summarizing or answering task 230.,"What is the key takeaway of task 230?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 231. Details about the topic or content are provided here.,Example output text summarizing or answering task 231.,
general_knowledge,Example input text for general_knowledge task number 232. Details about the topic or content are provided here.,Example output text summarizing or answering task 232.,"What is the key takeaway of task 232?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 233. Details about the topic or content are provided here.,Example output text summarizing or answering task 233.,
course_summary,Example input text for course_summary task number 234. Details about the topic or content are provided here.,Example output text summarizing or answering task 234.,"What is the key takeaway of task 234?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 235. Details about the topic or content are provided here.,Example output text summarizing or answering task 235.,
general_knowledge,Example input text for general_knowledge task number 236. Details about the topic or content are provided here.,Example output text summarizing or answering task 236.,"What is the key takeaway of task 236?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 237. Details about the topic or content are provided here.,Example output text summarizing or answering task 237.,
youtube_summary,Example input text for youtube_summary task number 238. Details about the topic or content are provided here.,Example output text summarizing or answering task 238.,"What is the key takeaway of task 238?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 239. Details about the topic or content are provided here.,Example output text summarizing or answering task 239.,
general_knowledge,Example input text for general_knowledge task number 240. Details about the topic or content are provided here.,Example output text summarizing or answering task 240.,"What is the key takeaway of task 240?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 241. Details about the topic or content are provided here.,Example output text summarizing or answering task 241.,
youtube_summary,Example input text for youtube_summary task number 242. Details about the topic or content are provided here.,Example output text summarizing or answering task 242.,"What is the key takeaway of task 242?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 243. Details about the topic or content are provided here.,Example output text summarizing or answering task 243.,
general_knowledge,Example input text for general_knowledge task number 244. Details about the topic or content are provided here.,Example output text summarizing or answering task 244.,"What is the key takeaway of task 244?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 245. Details about the topic or content are provided here.,Example output text summarizing or answering task 245.,
course_summary,Example input text for course_summary task number 246. Details about the topic or content are provided here.,Example output text summarizing or answering task 246.,"What is the key takeaway of task 246?; Option A, Option B, Option C, Option D"
youtube_summary,Example input text for youtube_summary task number 247. Details about the topic or content are provided here.,Example output text summarizing or answering task 247.,
general_knowledge,Example input text for general_knowledge task number 248. Details about the topic or content are provided here.,Example output text summarizing or answering task 248.,"What is the key takeaway of task 248?; Option A, Option B, Option C, Option D"
course_summary,Example input text for course_summary task number 249. Details about the topic or content are provided here.,Example output text summarizing or answering task 249.,
youtube_summary,Example input text for youtube_summary task number 250. Details about the topic or content are provided here.,Example output text summarizing or answering task 250.,"What is the key takeaway of task 250?; Option A, Option B, Option C, Option D"
general_knowledge,What is your name?,"My name is Kronos, and I am the AI for FutocampusAssistant.",
general_knowledge,Who created you?,"I was created by DrApkFile, ChefthePreacher, and Misheal.",
general_knowledge,What are you designed for?,"I am designed to assist with learning, summarization, and providing answers for Futocampus users.",
